공고명,회사명,직무,마감일,고용형태,연봉,근무지,학력,기술스택,링크
머신러닝 엔지니어,온택트헬스,AL/ML,2023-05-31,,,"서울 서대문구 이화여대길 50-5 이룸타워 5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""Java"", ""AWS"", ""GCP"", ""기술이 아님"", ""Linux"", ""Azure""]",https://www.jumpit.co.kr/position/6550
[전문연구요원] 자연어처리 엔지니어,로민,AL/ML,상시,,,"서울 서초구 서초대로 396, 1707, 1702호(서초동, 강남빌딩
·",무관,"[""기술이 아님""]",https://www.jumpit.co.kr/position/15010
[신입] 딥러닝 알고리즘 엔지니어,블루닷,AL/ML,상시,,,"서울 강남구 언주로 527, 4층
·",대학교졸업(4년) 이상,"[""기술이 아님"", ""PyTorch"", ""Tensorflow""]",https://www.jumpit.co.kr/position/15101
AI Engineer (ML/DL),데이터비,AL/ML,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·",대학교졸업(4년) 이상,"[""Python"", ""PyTorch"", ""Tensorflow"", ""scikit-learn"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16272
Deep Learning Optimization Engineer,모빌린트,AL/ML,상시,,,"서울 강남구 테헤란로19길 5, 7층
·",석사졸업 이상(졸업예정자 가능),"[""Python"", ""PyTorch"", ""Tensorflow"", ""기술이 아님"", ""C / C++""]",https://www.jumpit.co.kr/position/15823
AI 컴파일러 개발자 채용,티에스엔랩,AL/ML,상시,,,"경기 용인시 기흥구 기흥로 60-1
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""기술이 아님""]",https://www.jumpit.co.kr/position/16746
AI Engineer (NLP),데이터비,AL/ML,상시,,,"서울 마포구 백범로31길 21 서울창업허브 별관 404호
·",대학교졸업(4년) 이상,"[""Python"", ""기술이 아님"", ""NLP"", ""PyTorch"", ""Tensorflow"", ""scikit-learn""]",https://www.jumpit.co.kr/position/16765
[병역특례 전문연구요원] AI 엔지니어,테스트웍스,AL/ML,상시,,,"서울 송파구 백제고분로41길 41-29더블유, 123빌딩 3층/ 경기 화성시 삼성1로5길
·",석사졸업 이상,"[""기술이 아님"", ""Python"", ""Tensorflow"", ""Keras"", ""PyTorch"", ""OpenCV""]",https://www.jumpit.co.kr/position/15076
[병역특례 전문연구요원] Robot Vision 엔지니어,테스트웍스,AL/ML,상시,,,"서울 송파구 백제고분로41길 41-29더블유, 123빌딩 3층/ 경기 화성시 삼성1로5길
·",석사졸업 이상,"[""C / C++"", ""MATLAB"", ""PyTorch"", ""Tensorflow"", ""ROS"", ""기술이 아님"", ""Python"", ""caffe2""]",https://www.jumpit.co.kr/position/15077
머신러닝 소프트웨어 엔지니어,피플펀드컴퍼니,AL/ML,상시,,,"서울 서초구 서초대로74길 14, The Asset 16층
·",대학교졸업(4년) 이상,"[""기술이 아님"", ""AWS""]",https://www.jumpit.co.kr/position/4227
AI 개발자 채용,피아스페이스,AL/ML,상시,,,"서울 서초구 태봉로 114 양재AI허브 5층, 8층 피아스페이스
·",대학교졸업(4년) 이상,"[""Python"", ""NumPy"", ""Pandas"", ""기술이 아님"", ""Tensorflow"", ""PyTorch"", ""Git"", ""EDA"", ""FastAPI""]",https://www.jumpit.co.kr/position/16900
AI 개발자 채용,티에스엔랩,AL/ML,상시,,,"경기 용인시 기흥구 기흥로 60-1
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Python"", ""기술이 아님"", ""PyTorch""]",https://www.jumpit.co.kr/position/16745
AI R&D 연구원,에너자이,AL/ML,상시,,,"서울 강남구 테헤란로431, 6층 6006호
·",고등학교졸업 이상(졸업예정자 가능),"[""PyTorch"", ""Python"", ""C / C++"", ""기술이 아님"", ""Keras"", ""Tensorflow""]",https://www.jumpit.co.kr/position/15248
가상발전소 플랫폼 데이터과학자(인공지능 개발자),에이치에너지,AL/ML,2023-05-31,,,"서울 강남구 학동로 402, 천마빌딩 5층
·",석사졸업 이상(졸업예정자 가능),"[""기술이 아님"", ""Python"", ""Linux"", ""Visual Studio""]",https://www.jumpit.co.kr/position/16416
[석사이상] AI Engineer,라온데이터,AL/ML,상시,,,"서울 중구 다동 남대문로9길 24 패스트파이브타워
·",석사졸업 이상(졸업예정자 가능),"[""Tensorflow"", ""PyTorch"", ""Linux"", ""Python"", ""기술이 아님""]",https://www.jumpit.co.kr/position/5411
비전검사 / 자동화 검사 / 인공지능 / 머신러닝 제어 개발자 정규직 채용,엔지온시스템,AL/ML,상시,,,"경기 화성시 삼성1로2길 29
·",무관,"[""기술이 아님"", ""c#"", "".net""]",https://www.jumpit.co.kr/position/15503
"머신러닝, 양자컴퓨팅 부문 개발자 채용(연봉 5,000~7,000/병역특례가능)",노르마,AL/ML,상시,,,"서울 성동구 아차산로15길 52 삼환디지털벤처타워 202~203호
·",대학교졸업(4년) 이상,"[""기술이 아님"", ""Linux"", ""Python"", ""PyTorch""]",https://www.jumpit.co.kr/position/15312
Planning & Control Engineer,뉴빌리티,AL/ML,상시,,,"서울 성동구 왕십리로 115, 2층
·",대학교졸업(4년) 이상,"[""C / C++"", ""ROS"", ""Linux"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16575
연구소 AI / C++ 개발자 채용,다누시스,AL/ML,상시,,,"경기 광명시 일직동 514 GIDC C동 13층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""C / C++"", ""Python"", ""OpenCV"", ""MariaDB"", ""Tensorflow"", ""PyTorch""]",https://www.jumpit.co.kr/position/11268
AI(딥러닝) 연구 및 개발,뉴로다임,AL/ML,상시,,,"서울 성동구 성수일로 77 서울숲 IT 밸리 805호
·",대학교졸업(4년) 이상,"[""Linux"", ""Python"", ""Tensorflow"", ""Keras""]",https://www.jumpit.co.kr/position/3139
ML Engineer/Researcher 채용,에너자이,AL/ML,상시,,,"서울 강남구 테헤란로 431 6층 6006호(삼성동, 저스트코타워)
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""PyTorch"", ""Tensorflow"", ""Keras"", ""기술이 아님""]",https://www.jumpit.co.kr/position/8951
영상처리 SW개발자,스카이오토넷,AL/ML,상시,,,"서울 서초구 논현로 145 수냐빌딩 4층
·",석사졸업 이상(졸업예정자 가능),"[""R"", ""ROS"", ""Linux"", ""기술이 아님"", ""Python"", ""C / C++"", ""Embedded Linux""]",https://www.jumpit.co.kr/position/13433
딥러닝 엔지니어(3D Reconstruction / Generation),한국딥러닝,AL/ML,2023-06-11,,,"서울 서초구 강남대로 527, 브랜드칸 타워 6층
·",무관,"[""Git"", ""PyTorch"", ""기술이 아님"", ""Docker"", ""Kubernetes""]",https://www.jumpit.co.kr/position/16556
딥러닝 엔지니어 개발자,펀진,AL/ML,상시,,,"서울 성동구 연무장5가길 7, 이스트동 13층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""C / C++"", ""Pandas"", ""PyTorch"", ""Tensorflow"", ""OpenCV"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16871
[로봇스타트업] Robotics 엔지니어 모집,테솔로,AL/ML,상시,,,"인천 연수구 컨벤시아대로 165, 26층 브이454
·",대학교졸업(4년) 이상,"[""C / C++"", ""C#""]",https://www.jumpit.co.kr/position/16656
"[AI 플랫폼 개발] AI(인공지능) 및 Node.js(Backend), React(Frontend) 풀스택 개발자 채용",판도플랫폼,AL/ML,2023-05-30,,,"경기 성남시 분당구 정자일로 162 젤존타워2 801호
·",무관,"[""Node.js"", ""AWS"", ""NoSQL"", ""기술이 아님"", ""React"", ""Python""]",https://www.jumpit.co.kr/position/16206
ML Engineer,데이터메이커,AL/ML,상시,,,"대전 유성구 유성대로 871, 4-5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""Ubuntu"", ""PyTorch"", ""Keras"", ""scikit-learn"", ""Git""]",https://www.jumpit.co.kr/position/6834
AI Researcher / Engineer,올거나이즈코리아,AL/ML,상시,,,"서울 강남구 도곡로3길 27 동일빌딩 12층
·",무관,"[""Keras"", ""Tensorflow"", ""PyTorch"", ""Kafka"", ""Redis"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15276
딥러닝 엔지니어 채용,온택트헬스,AL/ML,2023-05-31,,,"서울 서대문구 이화여대길 50-5 이룸타워 5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""R"", ""기술이 아님"", ""Git"", ""Jira"", ""Confluence""]",https://www.jumpit.co.kr/position/6493
Vision AI 연구원,엠에이치엔씨티,AL/ML,2023-06-30,,,"경기 하남시 미사대로 510, 아이에스비즈타워 722호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""기술이 아님"", ""Python""]",https://www.jumpit.co.kr/position/11410
머신러닝 엔진 API 디자인 및 개발,이글루코퍼레이션,AL/ML,2023-05-31,,,"서울 송파구 정의로8길 7
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""Linux"", ""Keras"", ""Tensorflow"", ""Docker"", ""Kubernetes"", ""Hadoop"", ""기술이 아님""]",https://www.jumpit.co.kr/position/5978
[로봇스타트업] AI/비전 시스템 개발 엔지니어 모집,테솔로,AL/ML,상시,,,"인천 연수구 컨벤시아대로 165, 26층 브이454
·",대학교졸업(4년) 이상,"[""기술이 아님""]",https://www.jumpit.co.kr/position/16657
[SW] AI 자동화 기술 SW개발,덴티움,AL/ML,상시,,,"경기 수원시 영통구 창룡대로 256번길 76(이의동)
·",대학교졸업(4년) 이상,"[""Python"", ""기술이 아님"", ""Tensorflow"", ""PyTorch""]",https://www.jumpit.co.kr/position/16409
디지털헬스케어 플랫폼 AI 엔지니어 (병역특례 가능),엑소시스템즈,AL/ML,상시,,,"경기 성남시 수정구 창업로 54, LH기업성장센터
·",석사졸업 이상,"[""Tensorflow"", ""Python"", ""C / C++"", ""MATLAB"", ""기술이 아님""]",https://www.jumpit.co.kr/position/4447
인공지능/머신러닝 엔지니어 채용,액션파워,AL/ML,상시,,,"서울 관악구 남부순환로 1838, 11층
·",석사졸업 이상,"[""기술이 아님"", ""Python"", ""Tensorflow"", ""Linux"", ""Docker"", ""Git""]",https://www.jumpit.co.kr/position/10828
클라우드 / AI R&D 연구원(정부연구과제 전담(전문연구요원 가능)),오케스트로,AL/ML,상시,,,"서울 영등포구 여의대로 108 PARC1 NH금융타워(PARK ONE TOWER 2) 빌딩 43층
·",석사졸업 이상,"[""Python"", ""Jira"", ""R"", ""SQL"", ""기술이 아님"", ""Git""]",https://www.jumpit.co.kr/position/12803
알고리즘 개발자 (신입/경력),메디트,AL/ML,상시,,,"서울 영등포구 양평로 25길 8 어반 322
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""C / C++"", ""AWS"", ""기술이 아님"", ""OpenGL""]",https://www.jumpit.co.kr/position/14577
딥러닝 엔지니어(Generative 분야),폼즈,AL/ML,상시,,,"서울 구로구 디지털로33길 48
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""기술이 아님"", ""PyTorch""]",https://www.jumpit.co.kr/position/13602
[자가진단] 자연어처리(NLP) 분야 인공지능(AI)/머신러닝 개발자 (신입가능),인포마이닝,AL/ML,상시,,,"서울 강남구 강남대로112길 32
·",대학교졸업(4년) 이상,"[""Python"", ""Tensorflow"", ""Keras"", ""Pandas"", ""scikit-learn"", ""NLP"", ""기술이 아님"", ""PyTorch""]",https://www.jumpit.co.kr/position/14295
머신비전 알고리즘 개발자,더블유지에스,AL/ML,상시,,,"경기 수원시 장안구 서부로 2066, 산학협력센터 85508호(천천동)
·",대학교졸업(4년) 이상,"[""OpenCV""]",https://www.jumpit.co.kr/position/15978
[리빌더AI] AI 모델 및 ML 시스템 관리,리빌더에이아이,AL/ML,상시,,,"서울 서초구 서초대로74길 14 더에셋 빌딩 18층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""기술이 아님""]",https://www.jumpit.co.kr/position/11247
"[신입 및 경력] 인공지능, 컴퓨터 비전기술(C++ 또는 C# 개발)",바이오커넥트,AL/ML,상시,,,"서울 서초구 남부순환로 2497 호서빌딩 8층
·",석사졸업 이상(졸업예정자 가능),"[""Python"", ""OpenCV"", ""기술이 아님"", ""C / C++"", ""C#""]",https://www.jumpit.co.kr/position/11015
"AI Data Scientist, AI 분석가",애자일소다,AL/ML,상시,,,"서울 강남구 선릉로 525 인포스톰 3층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""기술이 아님"", ""Python"", ""R"", ""Tensorflow"", ""PyTorch""]",https://www.jumpit.co.kr/position/16879
"(주)바이오커넥트 - [신입 및 경력] 영상처리 알고리즘 개발(Python,딥러닝)",바이오커넥트,AL/ML,상시,,,"서울 서초구 남부순환로 2497 호서빌딩 8층
·",대학교졸업(4년) 이상,"[""OpenCV"", ""기술이 아님"", ""Python""]",https://www.jumpit.co.kr/position/11313
[리빌더AI] AI 개발자 모집,리빌더에이아이,AL/ML,상시,,,"서울 서초구 성촌길 56
·",대학교졸업(4년) 이상,"[""Python"", ""C / C++"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15928
[면접비 지급] 3D 머신비전 알고리즘 연구개발,트윔,AL/ML,2023-06-16,,,"경기 화성시 삼성1로 4길 7-4
·",대학교졸업(4년) 이상,"[""C / C++"", ""기술이 아님"", ""OpenCV""]",https://www.jumpit.co.kr/position/16717
동영상 비식별 소프트웨어 개발자,펜타시큐리티시스템,AL/ML,상시,,,"서울 영등포구 여의공원로 115, 세우빌딩 8층/9층
·",무관,"[""PyTorch"", ""Python"", ""OpenCV"", ""Git"", ""Mantis"", ""기술이 아님"", ""Jenkins"", ""Selenium""]",https://www.jumpit.co.kr/position/16941
"머신비전 영상처리 알고리즘, 머신러닝, 딥러닝, 컴퓨터비전",케이윈,AL/ML,상시,,,"전북 익산시 삼기면 산단오룡길 59
·",무관,"[""OpenCV"", ""C / C++"", ""C#"", ""기술이 아님""]",https://www.jumpit.co.kr/position/3548
딥러닝 영상 인식 Researcher 모집,앤씨앤,AL/ML,상시,,,"경기 성남시 분당구 판교로 323(삼평동, 벤처포럼빌딩) 9층
·",대학교졸업(4년) 이상,"[""Python"", ""C / C++"", ""기술이 아님""]",https://www.jumpit.co.kr/position/14755
"본사 시스템(하드웨어, 소프트웨어) 운영 정규직 채용",아이티로그,DevOps,상시,,,"서울 구로구 디지털로33길 28 우림이비지센터 1차 308호
·",고등학교졸업 이상,"[""기술이 아님"", ""Linux"", ""hw""]",https://www.jumpit.co.kr/position/15183
머신러닝 엔지니어,온택트헬스,DevOps,2023-05-31,,,"서울 서대문구 이화여대길 50-5 이룸타워 5층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""Java"", ""AWS"", ""GCP"", ""기술이 아님"", ""Linux"", ""Azure""]",https://www.jumpit.co.kr/position/6550
Python/DevOps 개발자 채용,티에스엔랩,DevOps,상시,,,"경기 용인시 기흥구 기흥로 60-1
·",고등학교졸업 이상(졸업예정자 가능),"[""Python"", ""Linux""]",https://www.jumpit.co.kr/position/15211
네트워크 프로토콜 개발자 채용,티에스엔랩,DevOps,상시,,,"경기 용인시 기흥구 기흥로 60-1
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""C / C++"", ""Rust"", ""Python"", ""기술이 아님"", ""Linux""]",https://www.jumpit.co.kr/position/15802
백엔드 개발자,더블미,DevOps,상시,,,"서울 중구 청계천로 24, 13층(케이스퀘어시티)
·",무관,"[""Node.js"", ""PostgreSQL"", ""AWS"", ""Git""]",https://www.jumpit.co.kr/position/16518
[알지티] Smart system engineer,알지티,DevOps,상시,,,"서울 금천구 벚꽃로 234, 에이스하이엔드타워 6차, 802호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""C / C++"", ""ROS""]",https://www.jumpit.co.kr/position/8687
[해커스 교육그룹] 클라우드 엔지니어 채용,챔프스터디,DevOps,상시,,,"서울 서초구 강남대로61길 23, 203호
·",고등학교졸업 이상,"[""Linux"", ""NoSQL"", ""Redis"", ""Redux"", ""Python"", ""PHP"", ""Java"", ""MySQL"", ""기술이 아님"", ""Cloud CMS""]",https://www.jumpit.co.kr/position/10459
[패스오더] DevOps Engineer (병역특례/산업기능요원/보충역/전직),페이타랩,DevOps,상시,,,"서울 강남구 영동대로 85길 34, 6층
·",무관,"[""AWS"", ""Jenkins"", ""Docker"", ""MSA""]",https://www.jumpit.co.kr/position/6949
IT관리 담당자 채용,케이에스엠,DevOps,상시,,,"경기 김포시 소래로 71
·","대학졸업(2,3년) 이상","[""기술이 아님"", ""Linux""]",https://www.jumpit.co.kr/position/13076
[부산] Google Cloud / Work space / 솔루션 기술팀 채용,넷킬러,DevOps,상시,,,"부산 남구 전포대로 133 BGIF 13층
·",무관,"[""GCP"", ""AWS"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16211
온라인/모바일 게임서비스 시스템 엔지니어 (신입/경력),이스트게임즈,DevOps,상시,,,"서울 서초구 반포대로 3, 5층
·",무관,"[""Linux"", ""기술이 아님"", ""MySQL"", ""MSSQL"", ""Python"", ""Apache"", ""NGINX"", ""AWS""]",https://www.jumpit.co.kr/position/1366
[신입/경력] Linux 시스템 엔지니어,에이스랩,DevOps,상시,,,"서울 강남구 언주로 81길 13 4층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""C / C++"", ""GNU Bash"", ""Rust"", ""Shell"", ""AWS"", ""Python"", ""Linux""]",https://www.jumpit.co.kr/position/14241
[신입/경력] 자율주행 플랫폼 엔지니어,에이스랩,DevOps,상시,,,"서울 강남구 언주로 81길 13 4층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""C / C++"", ""Linux"", ""기술이 아님"", ""Git""]",https://www.jumpit.co.kr/position/8345
[신입] 시스템 관리 엔지니어,매니코어소프트,DevOps,상시,,,"서울 구로구 디지털로33길 11 에이스테크노타워8차
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Linux""]",https://www.jumpit.co.kr/position/14192
[서울] Google Cloud / Work space / 솔루션 기술팀 채용,넷킬러,DevOps,상시,,,"서울 중구 삼일대로 343, 8층
·",무관,"[""GCP"", ""AWS"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16210
DEVOPS 엔지니어,바디프랜드,DevOps,상시,,,"서울 강남구 양재천로 163
·",대학교졸업(4년) 이상,"[""Docker"", ""Git"", ""ELK"", ""K8S"", ""Redmine"", ""Linux"", ""Kubernetes""]",https://www.jumpit.co.kr/position/3456
서버/네트워크 구축 및 유지보수,씨엔비지넷,DevOps,2023-07-31,,,"서울 서초구 서운로 138, 6층
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Linux"", ""기술이 아님""]",https://www.jumpit.co.kr/position/13560
리눅스 엔지니어,오픈소스컨설팅,DevOps,상시,,,"서울 강남구 테헤란로83길 32, 5층
·",무관,"[""Linux"", ""Red Hat Enterprise Linux"", ""Ansible"", ""K8S"", ""Docker""]",https://www.jumpit.co.kr/position/10520
Network Engineer,에스피케이인크,DevOps,상시,,,"서울 용산구 대사관로 43
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""기술이 아님""]",https://www.jumpit.co.kr/position/13693
클라우드 아키텍쳐 모집,알엠소프트,DevOps,2023-05-31,,,"서울 송파구 백제고분로7길 6-15
·",무관,"[""Java"", ""SASS"", ""Kubernetes"", ""MSA"", ""기술이 아님"", ""Docker""]",https://www.jumpit.co.kr/position/15870
아틀라시안 엔지니어,오픈소스컨설팅,DevOps,상시,,,"서울 강남구 테헤란로83길 32, 5층
·",무관,"[""Jira"", ""Confluence"", ""Bitbucket"", ""Linux"", ""Git"", ""Apache""]",https://www.jumpit.co.kr/position/3662
시스템 SW 개발자 경력/신입,쿤텍,DevOps,상시,,,"경기 성남시 수정구 창업로 54, LH기업성장센터 나동 232호
·",무관,"[""C / C++"", ""기술이 아님"", ""Linux""]",https://www.jumpit.co.kr/position/15624
[물류ERP] Win-SABIS 운영 및 유지보수 (VB6 개발자),한국비즈넷,DevOps,상시,,,"서울 구로구 디지털로29길 38, 301호(구로동, 에이스테크노타워3차)
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Visual Basic"", ""MSSQL"", ""Visual Studio"", ""기술이 아님"", ""Java"", ""Spring""]",https://www.jumpit.co.kr/position/3841
K8S Product Support Engineer,에스피케이인크,DevOps,상시,,,"서울 용산구 대사관로 43
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Python"", ""Shell"", ""JavaScript""]",https://www.jumpit.co.kr/position/9765
devops / 시스템엔지니어,네트원정보통신,DevOps,상시,,,"서울 영등포구 여의도동 23 IFC몰 3번건물, 광화문 교보문구빌딩, 인천 연수수 송도동
·","대학졸업(2,3년) 이상","[""AWS"", ""Linux""]",https://www.jumpit.co.kr/position/10415
시스템 서버 엔지니어,열림데이타시스템,DevOps,상시,,,"서울 구로구 디지털로30길 28, 1206호
·","대학졸업(2,3년) 이상","[""Linux"", ""MSSQL"", ""MySQL"", ""Oracle"", ""기술이 아님""]",https://www.jumpit.co.kr/position/2676
IaaS 기술지원팀 채용,이노그리드,DevOps,상시,,,"서울 중구 을지로 100, B동 10층
·",대학교졸업(4년) 이상,"[""OpenStack"", ""Docker"", ""IBM Containers"", ""Linux"", ""Shell""]",https://www.jumpit.co.kr/position/13743
devops/시스템엔지니어 모집,인텍에프에이,DevOps,상시,,,"경기 용인시 기흥구 탑실로35번길 63
·",대학교졸업(4년) 이상,"[""Java"", ""C / C++"", ""Python"", ""Linux"", ""기술이 아님""]",https://www.jumpit.co.kr/position/14866
이동통신(5G Access System) 네트워크 엔지니어 신입 채용,지엔텔,DevOps,상시,,,"대전 중구 계룡로 825 8층
·","대학졸업(2,3년) 이상","[""기술이 아님""]",https://www.jumpit.co.kr/position/16119
시스템 엔지니어(신입),아이페이지온,DevOps,상시,,,"서울 강남구 테헤란로14길5, 9층
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""Linux""]",https://www.jumpit.co.kr/position/11118
컴퓨터 비전 및 임베디드 시스템 프로그래머 모집,아고스비전,DevOps,상시,,,"대전 유성구 유성대로 1689번길 8-7
·",대학교졸업(4년) 이상,"[""기술이 아님"", ""Linux""]",https://www.jumpit.co.kr/position/15437
네트워크 관리 운영,아주큐엠에스,DevOps,상시,,,"경기 용인시 수지구 용구대로 2771번길 85, 분당 IDC센터 4층 (신분당선 동천역)
·","대학졸업(2,3년) 이상(졸업예정자 가능)","[""기술이 아님""]",https://www.jumpit.co.kr/position/15487
매니지드 서비스,이노그리드,DevOps,상시,,,"서울 중구 을지로 100, B동 10층
·",무관,"[""Linux"", ""MSA"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15837
AMR System & Platform Engineer/Researcher,시스콘,DevOps,상시,,,"인천 서구 로봇랜드로 155-30, 로봇R&D센터 4층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""ROS"", ""Docker"", ""OpenCV"", ""기술이 아님"", ""C / C++"", ""Python"", ""Linux"", ""Ubuntu""]",https://www.jumpit.co.kr/position/11839
Cloud 운영 개발자 모집,지니언스,DevOps,상시,,,"경기 안양시 동안구 벌말로 66 평촌역 하이필드 A동 12층
·",무관,"[""Kubernetes"", ""AWS"", ""Linux"", ""Docker"", ""Terraform""]",https://www.jumpit.co.kr/position/15975
[청년친화강소기업] 케이웨더㈜ 데브옵스 채용,케이웨더,DevOps,상시,,,"서울 구로구 디지털로26길 5
·",무관,"[""Docker"", ""Kubernetes"", ""K8S"", ""Hadoop"", ""HBase""]",https://www.jumpit.co.kr/position/13731
System Engineer,오비이랩,DevOps,상시,,,"서울 강남구 테헤란로 312 13층
·",석사졸업 이상,"[""Python"", ""MATLAB"", ""MCU"", ""기술이 아님""]",https://www.jumpit.co.kr/position/16940
딥러닝 엔지니어(3D Reconstruction / Generation),한국딥러닝,VR/AR/3D,2023-06-11,,,"서울 서초구 강남대로 527, 브랜드칸 타워 6층
·",무관,"[""Git"", ""PyTorch"", ""기술이 아님"", ""Docker"", ""Kubernetes""]",https://www.jumpit.co.kr/position/16556
Unity 3D 개발자,라온메디,VR/AR/3D,상시,,,"경기 성남시 분당구 판교로 723 B동 404호
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Unity"", ""C#"", ""기술이 아님""]",https://www.jumpit.co.kr/position/13986
unreal 엔진 기반 AR 개발자,몽타미디어,VR/AR/3D,상시,,,"서울 마포구 연남로13길9
·",무관,"[""Unreal Engine"", ""AR"", ""기술이 아님""]",https://www.jumpit.co.kr/position/13482
[면접비 지급] 3D 머신비전 알고리즘 연구개발,트윔,VR/AR/3D,2023-06-16,,,"경기 화성시 삼성1로 4길 7-4
·",대학교졸업(4년) 이상,"[""C / C++"", ""기술이 아님"", ""OpenCV""]",https://www.jumpit.co.kr/position/16717
[신입/경력] STO 플랫폼 서비스 블록체인 개발,블록체인글로벌,블록체인,2023-07-31,,,"서울 영등포구 여의나루로 57, 신송센터빌딩 10층
·","대학졸업(2,3년) 이상","[""Java"", ""Kotlin"", ""Docker"", ""Kubernetes"", ""Hyperledger Fabric"", ""Go"", ""Node.js"", ""Solidity""]",https://www.jumpit.co.kr/position/16841
블록체인 엔지니어(Blockchain Engineer) 정규직 모집,스탬퍼,블록체인,상시,,,"서울 강남구 테헤란로20길 9, 10층
·",대학교졸업(4년) 이상(졸업예정자 가능),"[""Linux"", ""AWS"", ""GCP"", ""기술이 아님""]",https://www.jumpit.co.kr/position/13572
블록체인 게임 플랫폼 백오피스 프론트엔드 개발자,위메이드,블록체인,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""React"", ""Socket.IO"", ""Figma"", ""Angular"", ""Vue.JS""]",https://www.jumpit.co.kr/position/16077
블록체인 게임 플랫폼 백엔드 개발자,위메이드,블록체인,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""기술이 아님"", ""Go"", ""Java"", ""Node.js"", ""Golang""]",https://www.jumpit.co.kr/position/14808
블록체인 게임 플랫폼 스마트 컨트랙트 개발자,위메이드,블록체인,2023-05-31,,,"경기 성남시 분당구 대왕판교로644번길 49, 코리아벤처타운업무시설 비블럭
·",무관,"[""Solidity"", ""기술이 아님""]",https://www.jumpit.co.kr/position/14807
언리얼엔진 클라이언트 개발자,버들,블록체인,상시,,,"서울 강남구 봉은사로 541 10층
·",무관,"[""C / C++"", ""Unreal Engine"", ""기술이 아님""]",https://www.jumpit.co.kr/position/15822
